Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),DO(mg/l),Fecal Coliform (cfu/100ml),"Nitrogen, Kjeldahl (mg/L)",Nitrite (NO2) + Nitrate (NO3) as N,"Nitrogen, ammonia (NH3) as NH3 (mg/L)","Nitrogen, ammonia as N (mg/L)",Oxidation reduction potential (ORP) (mV),Phosphorus as P (mg/L),"Phosphorus, orthophosphate as P(mg/L)","Phosphorus, orthophosphate as PO4 (mg/L)","Phosphorus, phosphate (PO4) as P(mg/L)",Salinity(ppt),Secchi Depth(m),Specific conductance(umho/cm),"Temperature, air deg C",Temperature (deg cels),Turbidity(NTU),"Wind direction (direction from, expressed 0-360 deg)",Wind velocity,pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag
9/16/2015,330100A7,30,27,14.47,87,21,32.6,77,8.1,6,1.1,*Non-detect,,0.005,,0.095,,,,16.3,,26779,,28.9,8.7,,,8.2,,,,,,,,
11/27/2012,330100A7,30,27,14.47,87,21,32.6,6.4,8.35,29,0.44,0.018,,*Non-detect,,0.016,,,,17.62,,28485,,16.9,1.8,,,8.13,20,20.55555556,15.55555556,16.66666667,23.33333333,22.77777778,23.88888889,22.22222222
12/7/2016,330100A7,30,27,14.47,87,21,32.6,7.1,8,,0.42,0.076,,0.008,,0.028,,,,9.5,,16132,,19.3,10,,,7,,,,,,,,
12/13/2011,330100A7,30,27,14.47,87,21,32.6,22,9.05,25,0.54,0.011,,*Non-detect,,0.033,,,,18.42,,29710,14,13.43,5.1,195,2,7.89,18.88888889,16.11111111,11.11111111,14.44444444,15,10.55555556,12.77777778,24.44444444
12/16/2014,330100A7,30,27,14.47,87,21,32.6,4.1,7.08,84,0.5,0.2,,0.013,,0.026,,,,18,,29042,,16.37,3.2,,,,21.11111111,21.11111111,18.88888889,20,18.88888889,15,14.44444444,18.33333333
12/21/2015,330100A7,30,27,14.47,87,21,32.6,4.8,6.4,29,0.45,0.047,,0.01,,0.015,,,,13.1,1,21638,,16.1,2.4,,,7.2,,,,,,,,
2/9/2015,330100C6,30,25,30,87,22,0,4.4,9.85,,0.43,0.16,,0.003,,0.014,*Non-detect,,,17.75,1.5,13810,,14.3,2.2,,,7.99,,,,,,,,
3/23/2015,330100C6,30,25,30,87,22,0,2.6,7.9,,0.26,0.072,,0.011,,0.006,0.005,,,5,1.7,8951,,23.2,1.6,,,7.3,,,,,,,,
5/24/2005,330100C6,30,25,30,87,22,0,14.5,8.1,2,0.62,*Non-detect,*Non-detect,,,0.044,,,,2.49,,4680,,29.29,9,,,8.14,34.44444444,33.88888889,27.77777778,30,28.88888889,27.77777778,27.22222222,26.66666667
7/6/2015,330100C6,30,25,30,87,22,0,13,6.6,,0.51,*Non-detect,,0.003,,0.02,*Non-detect,,,5.3,0.9,10660,,28.4,2.8,,,7.6,,,,,,,,
8/8/2005,330100C6,30,25,30,87,22,0,15.3,8.31,54,,,,,,,,,,14.82,,5940,,28.46,4,,,6.64,32.22222222,30,28.33333333,26.11111111,29.44444444,29.44444444,27.22222222,29.44444444
8/19/2015,330100C6,30,25,30,87,22,0,19,7.7,,0.55,*Non-detect,,0.004,,0.028,*Non-detect,,,10.1,0.9,30991,,30,3.7,,,8.1,,,,,,,,
9/21/2015,330100C6,30,25,30,87,22,0,13,7.6,,0.65,0.011,,0.006,,0.03,*Non-detect,,,17.5,,28477,,28.8,4.1,,,8.2,,,,,,,,
10/29/2015,330100C6,30,25,30,87,22,0,3.5,6.1,,0.43,0.18,,0.046,,0.023,*Non-detect,,,7.2,0.8,12619,,23.8,7.1,,,7.1,,,,,,,,
